Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBIN,EQ,28-Aug-2017,280.3,282.1,282.1,279,279.3,279.35,280.12,"10505317.00",2942781638.75,82169,"4828195.00",45.96
SBIN,EQ,29-Aug-2017,279.35,278.45,280.85,276.05,276.35,277,278.35,10335964,2877033744.4,64945,3321889,32.14
SBIN,EQ,30-Aug-2017,277,278,279.25,276,276.65,276.6,277.8,7648702,2124785336.65,58622,2953915,38.62
SBIN,EQ,31-Aug-2017,276.6,276.85,279.5,274.2,278.5,277.75,276.43,14222467,3931452220.7,87936,7112949,50.01
SBIN,EQ,01-Sep-2017,277.75,277.65,280.4,276.6,278,277.85,278.5,8255209,2299058874.3,61280,2846987,34.49
SBIN,EQ,04-Sep-2017,277.85,278.95,279.6,276.4,277.45,277.75,277.9,7168751,1992182735.3,67583,2052403,28.63
SBIN,EQ,05-Sep-2017,277.75,278.1,279.5,275.95,276.6,276.55,277.38,9565430,2653233951.65,56970,4382097,45.81
SBIN,EQ,06-Sep-2017,276.55,275.95,276.65,273.65,274.1,274.25,275.27,7306781,2011361654.95,47511,2534312,34.68
SBIN,EQ,07-Sep-2017,274.25,275.4,276.9,273.1,273.95,274.2,274.88,16102724,4426251901.25,77717,6872588,42.68
SBIN,EQ,08-Sep-2017,274.2,274.9,275.4,271.1,271.5,271.8,272.77,7077895,1930656900,77658,2171115,30.67
SBIN,EQ,11-Sep-2017,271.8,272.6,273.5,269.55,270.6,270.95,270.88,14489224,3924827835.85,127745,7556492,52.15
SBIN,EQ,12-Sep-2017,270.95,272,275.65,270.5,273.6,273.45,273.53,8375133,2290866580,72215,2607816,31.14
SBIN,EQ,13-Sep-2017,273.45,274.95,276.6,272.5,272.95,273.4,274.99,10150073,2791130722.15,89709,4186902,41.25
SBIN,EQ,14-Sep-2017,273.4,273.4,275.6,272.3,274.4,274.2,274.15,8015217,2197409892.3,80904,2793797,34.86
SBIN,EQ,15-Sep-2017,274.2,270.75,274.5,269.9,271.5,271.5,271.89,18404860,5004129813.65,97545,13182349,71.62
SBIN,EQ,18-Sep-2017,271.5,273,274,269.45,270,270.4,271.37,17538678,4759523061.1,128488,11211759,63.93
SBIN,EQ,19-Sep-2017,270.4,270.45,270.8,266.45,267.65,267.8,268.27,14331316,3844593450.05,114834,7553472,52.71
SBIN,EQ,20-Sep-2017,267.8,268.15,272.05,267.45,269.5,270.05,270.21,12355806,3338721091.8,101846,5845817,47.31
SBIN,EQ,21-Sep-2017,270.05,269.75,271.4,267.35,268.65,268.5,268.71,8509419,2286580037.6,60720,3585924,42.14
SBIN,EQ,22-Sep-2017,268.5,267.25,267.4,261.1,262.1,261.85,263.68,12860892,3391164989.6,124767,5758774,44.78
SBIN,EQ,25-Sep-2017,261.85,261.5,261.8,254.4,258.5,258.75,257.73,13937050,3591952180.55,137073,6277888,45.04
SBIN,EQ,26-Sep-2017,258.75,258.5,259.65,256,258.15,258.25,258.04,11728345,3026336152.75,127233,5828674,49.7
SBIN,EQ,27-Sep-2017,258.25,259.9,259.9,249.5,250.25,250.4,253.11,17080769,4323244622.05,126995,7926854,46.41
SBIN,EQ,28-Sep-2017,250.4,250.25,253.55,249.5,252.95,252.55,252.07,17776419,4480970144.1,135758,9212768,51.83
SBIN,EQ,29-Sep-2017,252.55,254.7,255.5,253.05,254.25,253.85,254.15,10073641,2560175416.3,80549,5310316,52.71
SBIN,EQ,03-Oct-2017,253.85,256.4,256.4,250.6,251.4,251.3,252.02,10547836,2658278526.25,139806,4604407,43.65
SBIN,EQ,04-Oct-2017,251.3,251.65,254.65,251.35,253.35,253.2,252.62,14063896,3552850903.8,99377,7440295,52.9
SBIN,EQ,05-Oct-2017,253.2,253.7,254.1,249.2,252.1,251.6,251.02,13476692,3382944139.75,106049,5671974,42.09
SBIN,EQ,06-Oct-2017,251.6,252.15,257.9,252.1,257.2,256.75,255.82,11932139,3052528604.85,80790,3845684,32.23
SBIN,EQ,09-Oct-2017,256.75,256.8,258.6,254.25,256.8,256.85,256.69,8009211,2055914624.2,60044,2836608,35.42
SBIN,EQ,10-Oct-2017,256.85,256.85,258.2,255.7,257,256.95,256.85,9742878,2502437976.3,65449,5500982,56.46
SBIN,EQ,11-Oct-2017,256.95,257.15,258.45,250.45,251.2,251.75,253.6,14192548,3599290885.65,114209,6090263,42.91
SBIN,EQ,12-Oct-2017,251.75,252,252.95,248.5,250.65,251.2,250.53,13404759,3358287363.65,126202,6406726,47.79
SBIN,EQ,13-Oct-2017,251.2,251.1,255.35,250.2,252.1,252.1,253.25,15697555,3975405262.35,115906,7241201,46.13
SBIN,EQ,16-Oct-2017,252.1,254.6,254.7,250.1,252.05,252.05,252,12171830,3067313728.9,105858,5235819,43.02
SBIN,EQ,17-Oct-2017,252.05,252.05,254.7,250.65,251.35,251.15,252.36,13505216,3408204091.05,86288,6179816,45.76
SBIN,EQ,18-Oct-2017,251.15,246,247.8,242.55,244.5,243.75,245.12,20677891,5068621626.25,146946,9285060,44.9
SBIN,EQ,19-Oct-2017,243.75,243.8,245.25,241.15,242.2,242.75,243.59,3458869,842562150.25,39363,1835629,53.07
SBIN,EQ,23-Oct-2017,242.75,244,247,242.3,246.05,245.95,244.98,8901335,2180634639.95,88204,3167059,35.58
SBIN,EQ,24-Oct-2017,245.95,246,255.3,245.95,254.9,254.45,252.11,17197805,4335790478.25,135463,4966648,28.88
SBIN,EQ,25-Oct-2017,254.45,279.85,328.05,279.85,322.95,324.9,310.73,262677081,81621408662.1,1057768,133331056,50.76
SBIN,EQ,26-Oct-2017,324.9,330,351.3,317.5,318.3,320.5,330.14,112804243,37241709886.65,542013,38893620,34.48
SBIN,EQ,27-Oct-2017,320.5,320.25,323.6,310.1,310.6,311.05,315.48,27580765,8701224474.45,177962,10473830,37.98
SBIN,EQ,30-Oct-2017,311.05,312,322.35,310.6,313,312,315.25,28530254,8994082068,187294,10389630,36.42
SBIN,EQ,31-Oct-2017,312,313,313.85,304.3,306.55,305.8,307.68,16455750,5063097521.55,139865,5356308,32.55
SBIN,EQ,01-Nov-2017,305.8,309.4,321.45,309.4,320,319.85,316.86,34907283,11060595199.2,226705,14731872,42.2
SBIN,EQ,02-Nov-2017,319.85,320,323.15,313.55,314.2,314.35,317.72,23110527,7342692062.9,183541,8417244,36.42
SBIN,EQ,03-Nov-2017,314.35,315.45,327.5,312.6,326,325,319.18,26898400,8585344337.65,183843,10058343,37.39
SBIN,EQ,06-Nov-2017,325,323.6,330,321.45,328,329,326.72,17143407,5601152347.6,161421,5379386,31.38
SBIN,EQ,07-Nov-2017,329,328.95,331.7,315.5,317.25,317.2,322.81,21883541,7064201493.45,162616,6722381,30.72
SBIN,EQ,08-Nov-2017,317.2,318,319.3,306.65,312.55,309.55,313.02,20242447,6336197461.45,150364,7388244,36.5
SBIN,EQ,09-Nov-2017,309.55,313.15,318,308.2,315,313.7,313.1,21846178,6840145285.2,120438,6916405,31.66
SBIN,EQ,10-Nov-2017,313.7,315,338.5,309.5,333.8,333.55,326.34,82984969,27081614539.8,489176,15169850,18.28
SBIN,EQ,13-Nov-2017,333.55,336.75,344.8,329.75,331,331.05,338.44,38777555,13123700520.35,342551,8808313,22.71
SBIN,EQ,14-Nov-2017,331.05,330.35,334.7,327.5,329.05,329.1,330.05,25647162,8464814204.05,137383,9470319,36.93
SBIN,EQ,15-Nov-2017,329.1,328,331.15,322.25,326.1,324.95,327.04,17389606,5687161495.85,118502,3194898,18.37
SBIN,EQ,16-Nov-2017,324.95,327.4,334.2,323.65,333.95,333.4,329.22,22506014,7409445046.25,163172,5644390,25.08
SBIN,EQ,17-Nov-2017,333.4,345,346.7,336,336.7,337.5,340.78,26518142,9036726675.35,180583,6230076,23.49
SBIN,EQ,20-Nov-2017,337.5,337.1,337.15,331.25,332.75,333,333.99,13507662,4511359330.15,124910,3598378,26.64
SBIN,EQ,21-Nov-2017,333,335,335.4,330,330.3,330.65,332.14,14189920,4713040976.7,118174,5464783,38.51
SBIN,EQ,22-Nov-2017,330.65,330.85,339.65,327,335.5,335.3,334.19,22861716,7640063180.4,163585,5295076,23.16
